pid,sentence1,sentence2
33172,None of these. I have other plans.,I have other plans
23976,I want to book bus tickets for NH7 weekeender,No bus ticket booking
17383,Unable to login using email ID,Facing issues while login using my Email ID
13144,I want to know the flight prices to Delhi,I want to know fares of flights
4728,"Hey, can you remind me to call someone?   .",Set an alarm for me to call someone
39968,I want to book flight,I want to book flight tickets for Guru Nank Jayanti
55588,wake up modification,wake up call
38481,account closing,"I have holdings in my Demat account, can I close my Demat account without transferring my shares?"
63984,want to purchase Flight Tickets,Please help me with flight booking
14519,Not get my Cashback,I didn't get my cash back
13472,14 th feb morning flight to goa 7 adults 2 kids,looking to Flight Tickets
18817,I want to book flight tickets for Guru Nank Jayanti,I want to book bus tickets for Guru Nank Jayanti
63930,want mumbai to bangalore flights,14 th feb morning flight to goa 7 adults 2 kids
73538,i have joined a contest,How to delete the joined contest
23365,Any offers currently available on train booking.,i want to check fare and availability of a train
62803,no OTP yet,One time password not getting
3011,Act broadband bill payment,Bill payments
2954,Is sugar as bad as tobacco?,I heard that sugar is as bad as tobacco
7013,What is my final quiz score?,show quiz leaderboard
18861,am I eligible for any cricket prize today,Any cricket prize?
60767,Book flights,Book a flight from Mumbai to Delhi
478,I am looking to get my,I need to get a test done mam
62800,i want to book,i want to book
1276,Hotel LPG Cylinders,LPG for Hotel
11386,Tutorial for flights cashback,Tutorial for flights coupon code
46392,I want to book flight tickets for New Year,Book flights
33944,give me a your pic,Please give your number
73239,suggest me some cafe nearby,Cafe near by
3823,delete all my subscriptions,cancel all daily reminders
49196,"Hey, can you find me the nearest Florist?  .",help me find nearest florist
22297,I havent receive any OTP,not receiving pin
49834,Need your help to know the Premium for Saral Nivesh,Saral Nivesh
66461,how much is the cost for the test,How much will be the charges for rescheduling for both up and down
65040,i have a flat tyre,flat tyre in bike
7875,i don't have paytm account,Unlink paytm account
2703,tell me about discount deal on flight ticket,tell me about picture
19934,I want invoice for my test,I need invoices
49729,Valentine's day joke,Valentine's Day Quote
49306,where to spend mobikwik cb,Where to apply coupon code
28978,How to claim gk prize?,Any gk prize?
33672,I want to know flight calendar,I dont know the flight number
63400,using auto connect,auto connect iphone
66089,What can I know here?,I wanted to know what type of complaints can be registered?
2128,I want to check the status of my report,I want to check flights
9036,my pin is not working,Didnt work
25526,show bollywood ranking,My rank in bollywood?
50387,Change my Bank in demat account,Can I link or register multiple bank or demat account with my trading account?
33972,order placed but did not get cashback,Will i get cashback on
66524,I didn't get my cash back,I dont got my cashback
7421,may i know the rate of the test,may i know the status of flight
49626,"In case I have lost all the documents ( SV ) , how can I surrender the connection and get back my refundable deposit ?",What documents are required to get back my refund
57215,Hi can you tell domestic flight offers .,"Hi, please tell me about Times Card. ."
10581,prize announcement,when will bollywood prizes be announced?
28643,reminder jog,cancel my exercise reminder
50167,Please share my as on date Maintenance Charges SOA.,From what date is the maintenance amount due?
26921,still didn't work,did not work
67162,Do u have any offer for flight,Some awesome cashback offers on flights.
6,Check Interest rates,Interest Rates
739,Send my money back,Muje cash back nahi mila
2410,Key Features,Explain me the key features of Total Secure
61567,book train ticket,may i book a train ticket through this
22367,how to log out,how to recharge my mobile
24729,check status train,pnr status train
14779,"Do I need to specify Minimum Order Quantity, Lot Size, Terms and Conditions etc. at the time of registration?","Should I also give  Order Quantity, Lot Size, Terms and Conditions etc. at the time of registration?"
12877,Can you help me find my order ID?,Can't find order ID
627,remaind me about birthday,remaind me about
10974,How much discount the coupon code has,How can I add coupon code in trains
17440,charge of test,may i know the cost of the test
46707,rm details,contact details of RM
28914,remiand me about walk,remiand me about wake up
37887,nearby movie theatre,Movie theatre
46283,What are the important features of My Life,What are the important features of Total Secure
10686,want to get my report but I dont have Lab id,i don't have lab id
19085,I gave the correct ID,That order ID is correct
27703,How to get connected to Wifi?,connect to wifi
32295,Cancel all of my reminders,show all my reminders
47740,I want discounts on uber.,I want discounts on uber tickets.
48375,Can you tell me what time it is,"Sure Rembo, tell me what you need."
10691,not married,no i am not married
54442,recommend me Flight Tickets,Send me flight timings from Mumbai to Delhi
60154,Why CCTV is not a part of the specifications?,Why is MNGL not a part of the specifications?
280,You are not responding me,You are not responding me on time
4682,any discount on flight booking,any deals on trains
64048,Want to know Survival Benefits of saral nivesh plan,what are the benefits of saral nivesh
14338,Remind me when fares drop,Alert me when prices goes down
20920,Lab I'd not found in receipt,i need receipt
72956,How to create a contest,how to create public contest
65488,find Flight Tickets,I want to book flight tickets.
4336,post grievance against RBI,post a grievance
55245,any offers currently available on flight tickets,Any offers currently available on train tickets
13321,Contract Note,How do I open my Digital Contract Note?
1435,eligibility criteria of wealth plus,wealth plus
63711,That was a valid order ID,"I don't understand, this is the right order ID"
44150,How can I update nominee for NSDL account ?,provide the documentation details to update nominee who is minor
56805,subscribe to horoscope update,Subscribe to joke
26171,Will you send the tickets via mail,send ticket softcopy
42442,How much discount the coupon code has,More cashback offers
56213,Your rates are not best as claimed,Test results are not good
60166,Offer best,my offer
5883,I want to know fare for full month,I want to know fare for whole month
38228,i want to update my number,Can core banking number be updated.
73466,I would like to cancel my Reminder,Cancel my reminder
13505,Book a flight,I want to book flight tickets for NH7 weekeender
3465,I want to book ticket,Want to book flight from Mumbai to Delhi
